CREATED_TIMESTAMP,METRIC_VALUE_FLOAT
29-APR-19 11.50.00 PM,0.93
29-APR-19 11.55.00 PM,1.5
29-APR-19 11.30.00 PM,1.43
29-APR-19 11.45.00 PM,1.74
29-APR-19 11.00.00 PM,1.97
29-APR-19 11.15.00 PM,1.62
29-APR-19 10.30.00 PM,1.74
29-APR-19 10.45.00 PM,1.56
29-APR-19 10.00.00 PM,1.67
29-APR-19 10.15.00 PM,1.73
29-APR-19 09.45.00 PM,2.01
29-APR-19 09.15.00 PM,3.05
29-APR-19 09.30.00 PM,2.3
29-APR-19 08.45.00 PM,1.54
29-APR-19 09.00.00 PM,1.71
29-APR-19 08.15.00 PM,1.91
29-APR-19 08.30.00 PM,2.04
29-APR-19 08.00.00 PM,2.15
29-APR-19 07.30.00 PM,1.86
29-APR-19 07.45.00 PM,2.37
29-APR-19 07.00.00 PM,1.53
29-APR-19 07.15.00 PM,1.95
29-APR-19 06.45.00 PM,1.55
29-APR-19 06.15.00 PM,1.66
29-APR-19 06.30.00 PM,1.68
29-APR-19 05.45.00 PM,1.59
29-APR-19 06.00.00 PM,1.4
29-APR-19 05.30.00 PM,1.6
29-APR-19 05.00.00 PM,1.72
29-APR-19 05.15.00 PM,1.38
29-APR-19 04.45.00 PM,1.66
29-APR-19 04.30.00 PM,2.13
29-APR-19 04.00.00 PM,1.6
29-APR-19 04.15.00 PM,2.14
29-APR-19 03.30.00 PM,1.54
29-APR-19 03.45.00 PM,1.63
29-APR-19 03.00.00 PM,1.44
29-APR-19 03.15.00 PM,0.94
29-APR-19 02.45.00 PM,1.89
29-APR-19 02.30.00 PM,1.15
29-APR-19 02.15.00 PM,1
29-APR-19 01.45.00 PM,1.18
29-APR-19 02.00.00 PM,0.78
29-APR-19 01.30.00 PM,0.93
29-APR-19 01.15.00 PM,1.59
29-APR-19 01.00.00 PM,1.33
29-APR-19 12.30.00 PM,1.02
29-APR-19 12.45.00 PM,1.52
29-APR-19 12.15.00 PM,1.24
29-APR-19 12.00.00 PM,1.19
29-APR-19 11.30.00 AM,1.65
29-APR-19 11.45.00 AM,1.25
29-APR-19 11.00.00 AM,0.79
29-APR-19 11.15.00 AM,1.52
29-APR-19 10.45.00 AM,1.01
29-APR-19 10.15.00 AM,1.27
29-APR-19 10.30.00 AM,1.34
29-APR-19 10.00.00 AM,1.32
29-APR-19 09.45.00 AM,1.52
29-APR-19 09.15.00 AM,1.4
29-APR-19 09.30.00 AM,1.66
29-APR-19 09.00.00 AM,1.16
29-APR-19 08.45.00 AM,1.41
29-APR-19 08.30.00 AM,0.96
29-APR-19 08.00.00 AM,1.43
29-APR-19 08.15.00 AM,1.49
29-APR-19 07.30.00 AM,0.69
29-APR-19 07.45.00 AM,0.78
29-APR-19 07.00.00 AM,0.75
29-APR-19 07.15.00 AM,0.78
29-APR-19 06.45.00 AM,0.42
29-APR-19 06.30.00 AM,0.28
30-APR-19 11.45.00 PM,0.95
30-APR-19 11.50.00 PM,0.5
30-APR-19 11.55.00 PM,0.77
30-APR-19 11.15.00 PM,1.68
30-APR-19 11.30.00 PM,1.21
30-APR-19 11.00.00 PM,1.67
30-APR-19 10.45.00 PM,1.84
30-APR-19 10.15.00 PM,2.23
30-APR-19 10.30.00 PM,1.94
30-APR-19 10.00.00 PM,2.34
30-APR-19 09.30.00 PM,2.37
30-APR-19 09.45.00 PM,2.45
30-APR-19 09.15.00 PM,2.12
30-APR-19 09.00.00 PM,2.78
30-APR-19 08.45.00 PM,3.2
30-APR-19 08.15.00 PM,3.11
30-APR-19 08.30.00 PM,3.21
30-APR-19 08.00.00 PM,3.16
30-APR-19 07.45.00 PM,1.82
30-APR-19 07.15.00 PM,2.32
30-APR-19 07.30.00 PM,1.85
30-APR-19 06.45.00 PM,2.07
30-APR-19 07.00.00 PM,2.04
30-APR-19 06.30.00 PM,1.72
30-APR-19 06.15.00 PM,1.37
30-APR-19 05.45.00 PM,1.19
30-APR-19 06.00.00 PM,1.24
30-APR-19 05.30.00 PM,1.72
30-APR-19 05.00.00 PM,1.41
30-APR-19 05.15.00 PM,2.25
30-APR-19 04.45.00 PM,1.53
30-APR-19 04.30.00 PM,1.67
30-APR-19 04.15.00 PM,2.15
30-APR-19 04.00.00 PM,1.87
